timestamp, robot_time[1], robot_ee_position[3], robot_ee_orientation[9], robot_ee_ori_error[3], sensed_forces_moments[6], 
10269, 10.0119, 0.511542, -0.0318406, 0.205283, 0.573116, 0.778788, 0.255003, 0.675067, -0.625092, 0.391848, 0.464567, -0.0524311, -0.883984, -0.234283, -0.366581, 0.723698, 0.008489, -0.00493048, 0.0152898, 0.033472, 0.418295, 0.021634
20430, 10.0219, 0.511542, -0.0318419, 0.205284, 0.573119, 0.778786, 0.255005, 0.675063, -0.625095, 0.39185, 0.464569, -0.0524324, -0.883983, -0.234284, -0.366583, 0.723695, 4.55417e-05, -9.07734e-05, -2.0475e-05, 0.033317, 0.418271, 0.021498
30627, 10.0319, 0.511538, -0.0318375, 0.205278, 0.573117, 0.778789, 0.254999, 0.675072, -0.625091, 0.39184, 0.464558, -0.0524274, -0.883989, -0.234277, -0.366575, 0.723702, 0.00419383, -0.00248861, 0.00747085, 0.033283, 0.418475, 0.021363
40834, 10.0419, 0.511538, -0.0318364, 0.205277, 0.573118, 0.778789, 0.254999, 0.675073, -0.625092, 0.391838, 0.464557, -0.0524264, -0.88399, -0.234275, -0.366574, 0.723702, -1.62075e-05, -5.8136e-05, 0.00761105, 0.033318, 0.418523, 0.021496
51044, 10.0519, 0.511538, -0.0318385, 0.205278, 0.573118, 0.778788, 0.254999, 0.675071, -0.625092, 0.39184, 0.464558, -0.0524285, -0.883989, -0.234277, -0.366574, 0.723701, -7.15884e-06, -0.00500862, 0.00769085, 0.033258, 0.418526, 0.021631
61274, 10.0629, 0.51154, -0.0318388, 0.205281, 0.573118, 0.778785, 0.255008, 0.675064, -0.625096, 0.391847, 0.464569, -0.0524275, -0.883983, -0.23428, -0.366585, 0.723696, 4.46995e-05, -9.01078e-05, -2.0423e-05, 0.033317, 0.418271, 0.021498
71482, 10.0729, 0.511543, -0.0318359, 0.205284, 0.573107, 0.778795, 0.255003, 0.675072, -0.625084, 0.391851, 0.46457, -0.052427, -0.883983, -0.234282, -0.366582, 0.723705, 4.58769e-05, -9.10151e-05, -2.04855e-05, 0.033317, 0.418271, 0.021498
81723, 10.0829, 0.511538, -0.0318382, 0.20528, 0.573117, 0.778789, 0.255, 0.675071, -0.625092, 0.391842, 0.464561, -0.0524282, -0.883988, -0.234278, -0.366576, 0.723701, 1.05493e-05, -3.90238e-05, 0.0152606, 0.03354, 0.418393, 0.021496
91929, 10.0929, 0.511542, -0.031837, 0.205281, 0.573112, 0.778792, 0.255001, 0.675072, -0.625087, 0.391846, 0.464565, -0.0524276, -0.883986, -0.23428, -0.366579, 0.723703, 4.63235e-05, -8.99969e-05, -1.99053e-05, 0.033317, 0.418271, 0.021498
102124, 10.1039, 0.511538, -0.0318365, 0.205277, 0.573115, 0.778791, 0.254997, 0.675076, -0.625088, 0.391839, 0.464556, -0.0524265, -0.88399, -0.234276, -0.366572, 0.723705, 7.53077e-05, -6.83053e-05, 0.00764113, 0.033539, 0.418141, 0.021498
112294, 10.1139, 0.511539, -0.0318353, 0.205281, 0.573115, 0.778789, 0.255004, 0.67507, -0.625092, 0.391843, 0.464563, -0.0524258, -0.883987, -0.234277, -0.366579, 0.723701, 0.00425579, -0.00251919, -0.000159704, 0.033283, 0.418223, 0.021365
122542, 10.1239, 0.511543, -0.03184, 0.205284, 0.573117, 0.778787, 0.255005, 0.675064, -0.625094, 0.391849, 0.464569, -0.0524306, -0.883983, -0.234283, -0.366583, 0.723696, 0.00420935, -0.00243067, -0.000140485, 0.033505, 0.418602, 0.021365
132864, 10.1339, 0.511543, -0.0318372, 0.205284, 0.573116, 0.778787, 0.255007, 0.675066, -0.625093, 0.391848, 0.46457, -0.0524279, -0.883983, -0.234281, -0.366584, 0.723697, 7.30001e-05, -7.04191e-05, 0.00763953, 0.033539, 0.418141, 0.021498
143177, 10.1449, 0.511539, -0.0318343, 0.20528, 0.573112, 0.778793, 0.255001, 0.675075, -0.625087, 0.391842, 0.464561, -0.0524246, -0.883988, -0.234276, -0.366577, 0.723705, 7.44549e-05, -6.89617e-05, 0.00764059, 0.033539, 0.418141, 0.021498
153499, 10.1549, 0.511543, -0.0318352, 0.205283, 0.57311, 0.778793, 0.255003, 0.675072, -0.625086, 0.391848, 0.464567, -0.0524262, -0.883984, -0.23428, -0.366581, 0.723704, -1.70848e-07, -3.41725e-07, -2.00762e-07, 0.033539, 0.41865, 0.021498
163824, 10.1649, 0.511543, -0.031836, 0.205283, 0.573113, 0.77879, 0.255005, 0.675069, -0.62509, 0.391847, 0.464567, -0.0524268, -0.883984, -0.23428, -0.366582, 0.7237, 0.00421847, -0.00737011, -6.02004e-05, 0.033445, 0.418605, 0.0215
174094, 10.1749, 0.511543, -0.0318357, 0.205284, 0.57311, 0.778795, 0.254998, 0.675075, -0.625084, 0.391845, 0.464563, -0.0524273, -0.883987, -0.234279, -0.366576, 0.723706, -1.60619e-05, -5.97778e-05, 0.00761037, 0.033318, 0.418523, 0.021496
184366, 10.1859, 0.511538, -0.0318392, 0.205278, 0.573115, 0.778792, 0.254996, 0.675074, -0.625088, 0.391842, 0.464558, -0.0524293, -0.883989, -0.234279, -0.366573, 0.723704, -1.55557e-05, -5.90369e-05, 0.00761084, 0.033318, 0.418523, 0.021496
194638, 10.1959, 0.511542, -0.0318358, 0.205281, 0.573113, 0.778791, 0.255003, 0.675071, -0.625089, 0.391845, 0.464565, -0.0524263, -0.883986, -0.234279, -0.36658, 0.723702, 4.58627e-05, -8.97198e-05, -1.99154e-05, 0.033317, 0.418271, 0.021498
